user_id,audio_id,playlist_add_score
688cb123f973caf328580ddf,68a8075db48b37f15da6d904,6.0
6892ffc74f17df142d03759f,6899d47fd10bebd21f6aed93,6.0
6892ffc74f17df142d03759f,6899d485d10bebd21f6aedb3,6.0
6892ffc74f17df142d03759f,6899e818d10bebd21f6af183,6.0
6892ffc74f17df142d03759f,68a654daf7567f01ebaf231e,6.0
6892ffc74f17df142d03759f,68a80cbcb48b37f15da6db91,6.0
6892ffc74f17df142d03759f,6937c48e3fc9e13f77ee0ee1,6.0
68937e8f4f17df142d037615,6899ce87d10bebd21f6aea72,6.0
68937e8f4f17df142d037615,6899ce89d10bebd21f6aea82,6.0
68937e8f4f17df142d037615,6899ce8cd10bebd21f6aeaa2,6.0
68937e8f4f17df142d037615,6899cff6d10bebd21f6aeb28,6.0
68937e8f4f17df142d037615,6899cff7d10bebd21f6aeb38,6.0
68937e8f4f17df142d037615,6899cff8d10bebd21f6aeb48,6.0
68937e8f4f17df142d037615,6899cff9d10bebd21f6aeb58,6.0
68937e8f4f17df142d037615,6899cff9d10bebd21f6aeb68,6.0
68937e8f4f17df142d037615,6899cffad10bebd21f6aeb78,6.0
68937e8f4f17df142d037615,6899cffbd10bebd21f6aeb88,6.0
68937e8f4f17df142d037615,6899cffcd10bebd21f6aeb98,6.0
68937e8f4f17df142d037615,6899cffdd10bebd21f6aeba8,6.0
68937e8f4f17df142d037615,6899cffdd10bebd21f6aebb8,6.0
68937e8f4f17df142d037615,6899cffed10bebd21f6aebc8,6.0
68937e8f4f17df142d037615,6899cfffd10bebd21f6aebd8,6.0
68937e8f4f17df142d037615,6899d000d10bebd21f6aebe8,6.0
68937e8f4f17df142d037615,6899d001d10bebd21f6aebf8,6.0
68937e8f4f17df142d037615,6899d003d10bebd21f6aec08,6.0
68937e8f4f17df142d037615,6899d004d10bebd21f6aec18,6.0
68937e8f4f17df142d037615,6899d471d10bebd21f6aed33,6.0
68937e8f4f17df142d037615,6899d475d10bebd21f6aed53,6.0
68937e8f4f17df142d037615,6899d477d10bebd21f6aed63,6.0
68937e8f4f17df142d037615,6899d479d10bebd21f6aed73,6.0
68937e8f4f17df142d037615,6899d47cd10bebd21f6aed83,6.0
68937e8f4f17df142d037615,6899d47fd10bebd21f6aed93,6.0
68937e8f4f17df142d037615,6899d482d10bebd21f6aeda3,6.0
68937e8f4f17df142d037615,6899d485d10bebd21f6aedb3,6.0
68937e8f4f17df142d037615,6899d488d10bebd21f6aedc3,6.0
68937e8f4f17df142d037615,6899d48bd10bebd21f6aedd3,6.0
68937e8f4f17df142d037615,6899d48ed10bebd21f6aede3,6.0
