user_idx,category_idx
1,13
26,13
28,3
29,5
32,11
35,5
36,3
52,13
53,5
55,5
56,5
57,15
59,5
61,12
62,5
64,3
67,4
69,5
73,13
77,12
78,15
79,5
80,5
82,1
83,5
85,13
87,11
88,5
89,5
90,8
91,12
95,15
96,5
98,0
102,5
103,15
107,13
114,13
115,2
116,2
120,5
122,15
125,5
126,5
129,5
130,15
131,5
132,4
