user_id,language_id
6788d83933abab0147580e98,English
6788d83933abab0147580e96,Hindi
6788d83a33abab0147580ea4,Marathi
6788da7233abab0147581062,Hindi
6788da7233abab0147581064,Hindi
6788de4433abab0147581106,English
6788de4433abab014758110e,Hindi
6788de4433abab014758110c,Hindi
6788de4433abab014758110a,Hindi
67897fc213537f4d2049d92e,Hindi
678986b513537f4d2049e128,Marathi
67898b9513537f4d2049e82c,Marathi
67898d0713537f4d2049e8f4,Marathi
67899b1c13537f4d2049f31d,Marathi
6789a1ad13537f4d2049f843,Marathi
678bfa4af5489fb0e02536e4,Hindi
678ccbbe66775883717ef12d,English
678d0aa066775883717ef6a0,Hindi
678d419266775883717f1cdf,Marathi
678d923a66775883717f6b31,English
678d95e166775883717f6cf6,English
678e466ba8ae2c5d02101d7e,English
678e867b9fe1d22e8f6a44f2,English
678e89449fe1d22e8f6a4582,Karnataka
678f77499fe1d22e8f6a5179,Marathi
67909870e65df45dd604beda,Marathi
6790ec6ce65df45dd604d459,Hindi
6790ef99e65df45dd604d510,English
6792356ae65df45dd604eba7,Hindi
67939314e65df45dd604f895,Marathi
67939d19e65df45dd604f9d2,Hindi
6793b285e65df45dd604ffca,Marathi
6793d986e65df45dd6050253,Hindi
679438b7e65df45dd6050b7c,Hindi
679438b8e65df45dd6050b81,Hindi
6794486fe65df45dd60513e3,Hindi
6794495de65df45dd605140f,Hindi
679482a1e65df45dd6052033,Hindi
6794843ce65df45dd605206e,Hindi
67951cf005e5f89c45978302,Hindi
6795314c05e5f89c45978ccd,Marathi
679533b905e5f89c45978d7c,Marathi
6795ff1005e5f89c4597c7a3,Hindi
67962d0112bc2f462318b722,English
679634c412bc2f462318bd05,Hindi
6796404812bc2f462318c1ed,Marathi
6796455212bc2f462318c373,Hindi
67966b9912bc2f462318d3c8,Hindi
6797916e041017eca3de3041,English
6797ddf4d05e75fa7b2f5bd3,English
679900889cd5a42618255dd2,English
679b737305a1d9b38bbda765,English
679cb2e005a1d9b38bbdba5c,Hindi
679cb31e05a1d9b38bbdbaa1,Hindi
679ccba405a1d9b38bbdbbbd,English
679cf9e105a1d9b38bbdc481,English
67a08714d38c66253990e34a,Marathi
67a08aa1d38c66253990e6de,English
67a172c3d38c66253990f626,Hindi
67a309279ad8ceb7a54b1b97,English
67b0057761e07e74cefc88f4,Hindi
67b0c4d961e07e74cefc9144,Hindi
67b20d1f815a603d5ef7908a,Marathi
67ba1f5bcd3b3e567426617b,English
67bbd69bcd3b3e56742663da,Marathi
67bbd938cd3b3e5674266495,Marathi
67bbdee9cd3b3e567426657f,Hindi
67bd9d89cd3b3e567426b47c,Hindi
67bdd7e9cd3b3e567426d464,Hindi
67bde6a5cd3b3e567426d4d2,Hindi
67bee53353f111a48a135037,English
67bf20f453f111a48a1365fd,Marathi
67bf262453f111a48a1366cc,English
67bf270953f111a48a13671a,Marathi
67bf3104f500aaced732f52d,Marathi
67bf33dcf500aaced732f687,Marathi
67bf4e6072da3b87946f5a29,Hindi
67c06aa272da3b87946f651f,Hindi
67c06aec72da3b87946f6575,Hindi
67c085d972da3b87946f6764,Hindi
67c08a3872da3b87946f6804,Marathi
67c0b37a72da3b87946f718c,Hindi
67c184359e0e44affb1254ac,Marathi
67c184c49e0e44affb12575b,English
67c184c89e0e44affb125787,Hindi
67c1852b9e0e44affb125a60,English
67c1ea3e3830dee6d2fc78e4,Hindi
67c2033a3830dee6d2fc7bd9,Hindi
67c2b3043830dee6d2fc7e31,Hindi
67c421363830dee6d2fc8957,Marathi
67c53aad3830dee6d2fc8c3e,English
67c53ba43830dee6d2fc8d17,English
67c54d4e3830dee6d2fc8e80,Hindi
67c58f383830dee6d2fca03d,Hindi
67c6fb523830dee6d2fcbb9e,Hindi
67c704523830dee6d2fcbefe,Marathi
67c7302c3830dee6d2fcc0e8,English
67c7d0ba3830dee6d2fcc25f,Marathi
67c7f1293830dee6d2fcca55,Marathi
67ca68ac52a2ce5d7e08a2ff,Marathi
67cbb00f3cde7a9621ceded7,Hindi
67cbfb6c3cde7a9621cee17a,English
67cd373a3cde7a9621cee70a,English
67cf18b2381a17e3b85c811b,Hindi
67d4e93e381a17e3b85ca092,Hindi
67d656bdc9ff3542b2c4d84d,Hindi
67d6f770c9ff3542b2c4d96e,Hindi
67dda7389e69acccee61c56c,Hindi
67ddaa9e9e69acccee61c65b,Hindi
67de562440596e2f906402bf,Hindi
67e3b29adab681792f0c529c,Hindi
67e529ce0145929c6afbef79,English
67e53ab40145929c6afc07ea,Marathi
67e566c3aca0fa091439fc00,English
67e5a11eaca0fa091439ff05,English
67eb9a396ad63b475a85437a,English
6800816d886f09e415457a9e,English
680bcb23886f09e41545887d,English
6841c8b7cfe60dc02661074e,English
684e60cf4042e27af289fc3c,English
6856d7364042e27af28a1b46,English
6870c7acc090e0f3d43c13c5,Hindi
6870cfdfc090e0f3d43c175e,Hindi
6870db855bdd19115a9b3807,Hindi
68982a54c14e977f8cb0f70d,English
